VisitID,PropertyID,ClientID,AgentID,VisitDate
1,399,1494,61,2024-09-14
2,903,268,37,2024-12-30
3,879,534,78,2024-06-08
4,437,996,57,2024-09-01
5,543,1242,9,2024-11-07
6,376,404,88,2025-02-05
7,428,1403,9,2024-12-12
8,531,363,65,2025-01-25
9,699,563,39,2024-06-28
10,113,62,92,2025-03-11
11,372,988,57,2024-06-02
12,123,265,36,2024-08-05
13,760,1357,1,2025-02-11
14,481,1072,39,2024-07-28
15,478,1430,44,2024-06-28
16,768,324,7,2025-01-02
17,733,614,83,2025-03-30
18,344,41,92,2024-07-29
19,581,997,74,2024-08-27
20,762,436,13,2024-05-27
21,107,877,56,2024-10-27
22,484,754,8,2024-10-19
23,9,1353,76,2024-08-23
24,143,997,97,2024-12-11
25,704,439,24,2024-05-22
26,461,360,90,2024-09-30
27,425,1147,36,2024-09-25
28,500,660,74,2024-11-07
29,851,1497,82,2024-11-09
30,796,1252,76,2024-06-10
31,467,403,4,2024-09-24
32,822,985,23,2024-08-04
33,235,1446,62,2025-03-26
34,697,245,75,2024-10-24
35,879,117,13,2025-04-14
36,398,108,16,2024-08-23
37,390,192,68,2025-04-23
38,907,1420,16,2024-11-28
39,652,172,83,2025-01-01
40,509,1109,87,2024-06-10
41,426,985,24,2024-11-11
42,622,403,99,2024-07-13
43,921,726,3,2024-06-20
44,833,1412,34,2025-03-29
45,382,562,4,2025-05-11
46,747,50,55,2024-08-30
47,832,1212,57,2024-05-30
48,977,856,71,2025-01-09
49,926,47,97,2024-08-23
50,891,220,58,2024-11-18
51,356,1249,51,2025-02-21
52,580,1340,44,2024-07-30
53,429,4,87,2024-12-02
54,411,119,35,2024-07-22
55,593,1244,21,2024-06-20
56,807,914,73,2024-12-19
57,484,808,78,2025-03-29
58,453,1497,20,2025-01-28
59,518,585,14,2024-06-05
60,392,446,46,2024-07-30
61,357,709,6,2024-11-11
62,605,470,30,2024-05-19
63,570,97,76,2024-10-08
64,546,292,84,2024-09-17
65,686,717,37,2025-01-04
66,670,596,75,2025-05-03
67,889,205,42,2024-08-24
68,315,1333,30,2024-09-24
69,383,105,59,2025-01-16
70,548,162,46,2024-07-23
71,909,804,5,2024-12-26
72,470,253,48,2025-01-01
73,608,1290,95,2025-03-11
74,758,1324,56,2024-06-13
75,302,388,55,2024-12-18
76,155,1270,88,2024-11-01
77,578,956,36,2024-09-10
78,122,1043,66,2024-07-22
79,938,1479,24,2025-03-21
80,774,884,95,2025-04-08
81,872,619,45,2025-03-21
82,687,1369,40,2024-11-21
83,535,1100,13,2024-06-27
84,611,1454,99,2025-01-19
85,463,283,23,2024-11-03
86,510,531,87,2025-02-04
87,347,432,90,2025-04-28
88,202,954,11,2024-08-25
89,349,713,37,2024-08-05
90,607,1170,45,2024-12-07
91,960,401,46,2024-08-09
92,480,690,34,2024-09-21
93,423,1146,22,2025-01-16
94,745,1287,24,2024-07-08
95,765,795,13,2024-12-22
96,876,1145,71,2024-11-18
97,268,1353,42,2024-08-04
98,782,1101,75,2025-03-04
99,583,1427,46,2025-02-27
100,889,1263,44,2024-06-08
101,348,682,45,2025-02-05
102,515,148,37,2024-08-28
103,557,577,53,2024-09-20
104,155,1341,25,2024-08-23
105,722,639,79,2024-12-17
106,143,546,84,2024-10-01
107,745,1405,3,2024-12-05
108,613,569,15,2024-11-13
109,73,320,9,2025-01-31
110,408,560,99,2025-03-01
111,450,447,7,2025-03-27
112,114,212,100,2024-06-13
113,719,1340,68,2025-04-04
114,950,1366,75,2024-08-27
115,876,865,85,2025-01-13
116,123,1143,27,2024-08-06
117,685,1413,32,2024-05-20
118,19,1299,79,2024-05-30
119,77,744,20,2024-12-25
120,652,969,97,2025-02-05
121,672,334,62,2025-01-17
122,495,49,41,2024-10-21
123,988,890,69,2024-11-11
124,96,65,24,2024-05-12
125,6,408,68,2024-07-22
126,544,462,55,2024-07-16
127,234,761,57,2024-09-07
128,604,1171,17,2025-03-31
129,440,1470,73,2024-06-10
130,997,772,86,2024-05-13
131,314,347,86,2025-03-07
132,776,954,53,2024-05-24
133,385,548,66,2024-11-29
134,196,783,27,2025-03-04
135,74,916,19,2024-05-12
136,770,395,57,2025-04-23
137,533,1368,59,2024-12-24
138,851,176,59,2025-02-04
139,286,735,38,2024-11-11
140,706,1002,53,2024-08-06
141,141,833,84,2025-04-03
142,298,1458,23,2025-05-01
143,821,1220,28,2025-04-29
144,92,6,67,2024-11-11
145,922,1244,56,2024-10-27
146,846,939,72,2025-01-25
147,848,105,78,2024-06-09
148,36,55,10,2024-06-23
149,606,61,75,2024-05-23
150,813,515,58,2024-11-29
151,491,1210,67,2024-09-05
152,363,266,16,2024-09-12
153,356,871,74,2024-05-26
154,314,642,28,2024-06-23
155,201,1267,92,2024-11-21
156,148,1424,20,2025-04-25
157,517,177,14,2024-09-19
158,319,1239,75,2025-02-16
159,319,680,16,2025-02-12
160,409,556,17,2025-04-12
161,447,513,34,2024-08-05
162,681,656,16,2025-01-07
163,517,797,95,2024-12-05
164,414,205,80,2024-12-08
165,633,217,87,2025-04-20
166,510,936,34,2025-01-16
167,61,918,87,2024-06-11
168,636,942,21,2025-01-08
169,680,457,13,2025-01-17
170,939,518,9,2024-10-29
171,275,105,93,2025-04-22
172,286,1081,35,2025-03-30
173,62,411,37,2024-06-10
174,34,798,29,2024-11-28
175,491,494,76,2024-12-31
176,2,404,92,2024-12-21
177,716,594,82,2024-12-05
178,799,300,18,2024-10-08
179,402,530,63,2024-09-25
180,508,902,38,2025-04-13
181,192,1271,5,2024-05-30
182,215,792,32,2025-01-17
183,402,955,53,2024-12-21
184,791,958,30,2024-06-26
185,467,267,15,2025-04-25
186,853,1389,17,2024-11-05
187,121,138,83,2024-09-28
188,319,753,48,2025-01-13
189,731,428,56,2024-06-26
190,482,1231,56,2024-08-11
191,905,704,15,2024-10-18
192,574,1294,3,2024-11-28
193,441,874,50,2024-10-13
194,766,1278,15,2024-11-19
195,815,458,69,2025-03-06
196,423,1192,28,2024-06-14
197,359,41,69,2024-10-12
198,287,1437,79,2025-05-11
199,447,1003,48,2025-03-02
200,413,253,93,2024-07-01
201,770,361,94,2025-03-12
202,719,826,33,2024-08-03
203,499,1395,7,2024-09-15
204,795,558,97,2024-06-06
205,112,226,5,2024-06-05
206,150,1355,97,2024-06-04
207,614,156,75,2024-06-20
208,846,612,45,2024-10-04
209,212,1035,26,2024-09-06
210,45,788,99,2025-03-23
211,269,409,28,2024-12-18
212,193,171,49,2024-08-06
213,391,1187,78,2024-10-07
214,406,1084,48,2024-10-27
215,21,696,31,2025-03-23
216,211,260,82,2024-08-07
217,51,122,72,2024-11-21
218,376,474,69,2024-08-23
219,171,649,56,2024-09-14
220,369,749,62,2025-01-04
221,993,441,23,2024-06-04
222,194,917,76,2024-06-09
223,559,955,36,2024-09-06
224,496,1052,32,2025-04-05
225,431,649,83,2025-04-25
226,379,1359,77,2025-03-19
227,263,513,17,2025-04-14
228,785,51,39,2024-09-06
229,396,1131,60,2025-01-21
230,113,1119,99,2024-08-30
231,63,200,37,2025-03-11
